episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
15,1.0,5.5390959236328525,7.6012394674053185,-11.056703545698724,18.671118582300608,2.591470439527064,[18.671118582300608, 2.591470439527064],0.0,False,True,0.23322128339003934,151,60.1771198586739,237.067,prepare,0.0
15,2.0,5.538876773972017,7.601347275264209,-11.043622977800975,-8.335224272702689,1.25,[-8.335224272702689, 1.25],1.202,False,True,0.23282960501131988,151,60.1771198586739,237.172,in_progress,0.0
15,3.0,5.556216350279876,7.598154344613369,-10.992740254546176,30.0,1.3654186343025678,[30.0, 1.3654186343025678],1.003,False,True,0.26212682093714745,152,60.1771198586739,237.225,in_progress,0.0
15,4.0,5.56059939719293,7.596308096749442,-11.268815516871108,-17.265615674638145,1.7388523127665354,[-17.265615674638145, 1.7388523127665354],1.202,False,True,0.26986215670803393,152,60.1771198586739,237.313,in_progress,0.0
15,5.0,5.597203879836914,7.578530809506867,-13.689703512302282,-21.254769247546115,2.783596746193183,[-21.254769247546115, 2.783596746193183],1.202,False,True,0.33521113392208646,152,60.1771198586739,237.377,in_progress,0.0
15,6.0,5.645931065342254,7.544135355275064,-18.73843881995935,30.0,1.25,[30.0, 1.25],1.202,False,True,0.4256067675980191,152,60.1771198586739,237.401,in_progress,0.0
15,7.0,5.690615549622734,7.5143461431196785,-22.128918259850472,-30.0,4.0,[-30.0, 4.0],1.202,False,True,0.5116282846557407,152,60.1771198586739,237.459,in_progress,0.0
15,8.0,5.820238328993325,7.411175683610795,-32.281221411922665,30.0,4.0,[30.0, 4.0],1.202,False,True,0.760610791317029,153,60.1771198586739,237.607,in_progress,0.0
15,9.0,5.879567498026745,7.347361690805903,-37.06182218688399,30.0,1.4907910368268056,[30.0, 1.4907910368268056],1.202,False,True,0.8808956768340259,153,60.1771198586739,237.668,in_progress,0.0
15,10.0,5.975549882218648,7.2873711762861175,-35.31019294595405,17.368314753048686,1.311678651227916,[17.368314753048686, 1.311678651227916],1.202,False,True,1.072945871148201,153,60.1771198586739,237.744,in_progress,0.0
15,11.0,6.032108679892174,7.262227784017536,-32.508122970858736,6.517477363150164,1.25,[6.517477363150164, 1.25],1.202,False,True,1.174690297880454,153,60.1771198586739,237.838,in_progress,0.0
15,12.0,6.160382369318724,7.221925767147143,-25.38134650753913,26.880092049535165,2.9738217325463365,[26.880092049535165, 2.9738217325463365],1.202,False,True,1.398000355060891,154,60.1771198586739,237.893,in_progress,0.0
15,13.0,6.252302057234451,7.202266302039808,-20.290990108879985,30.0,1.25,[30.0, 1.25],1.202,False,True,1.5681923968111078,154,60.1771198586739,237.978,in_progress,0.0
15,14.0,6.327836633715771,7.193705625190864,-15.791735327927885,30.0,1.25,[30.0, 1.25],1.202,False,True,1.6920526915369938,154,60.1771198586739,238.064,in_progress,0.0
15,15.0,6.4400668209601175,7.191406832529749,-9.827948055172905,-28.650306160285975,2.298570589610552,[-28.650306160285975, 2.298570589610552],1.202,False,True,1.8707920437292413,155,60.1771198586739,238.086,in_progress,0.0
15,16.0,6.511061124624432,7.19103115650809,-7.335741741104996,-11.562447596153419,4.0,[-11.562447596153419, 4.0],1.202,False,True,1.9833106813343826,155,60.1771198586739,238.087,in_progress,0.0
